DUMMY,HH0,HW0,HN0,OUT
HH1WI,655,257,398,261
HH2WI,1195,653,542,662
HH3WI,2618,1683,935,1710
HH4WI,4114,3671,443,3727
HH5WI,3321,3128,193,3179
HH1BI,242,113,129,114
HH2BI,375,274,101,280
HH3BI,718,624,94,632
HH4BI,503,498,5,506
HH5BI,365,359,6,363
HH1HI,241,98,143,99
HH2HI,625,500,125,508
HH3HI,888,789,99,802
HH4HI,1200,1172,28,1189
HH5HI,258,247,11,249
HH1WM,2035,798,1237,1492
HH2WM,3702,2023,1679,3779
HH3WM,8129,5226,2903,9767
HH4WM,12769,11392,1377,21281
HH5WM,10314,9717,597,18152
HH1BM,752,350,402,655
HH2BM,1169,853,316,1593
HH3BM,2224,1933,291,3612
HH4BM,1562,1548,14,2893
HH5BM,1134,1116,18,2085
HH1HM,745,302,443,564
HH2HM,1942,1553,389,2902
HH3HM,2762,2453,309,4583
HH4HM,3727,3639,88,6796
HH5HM,776,761,15,1424