dummy,AG_MIA,UTILA,CONSTA,MANUA,WHOLEA,RETAILA,TRANSA,INFOA,FINANCEA,REALEA,PRO_MANA,ADMINA,EDUA,HEALTHA,ARTA,ACCOA,OTHERA,AG_MIB,UTILB,CONSTB,MANUB,WHOLEB,RETAILB,TRANSB,INFOB,FINANCEB,REALEB,PRO_MANB,ADMINB,EDUB,HEALTHB,ARTB,ACCOB,OTHERB,L1WA,L2WA,L3WA,L4WA,L1BA,L2BA,L3BA,L4BA,L1IA,L2IA,L3IA,L4IA,L1WB,L2WB,L3WB,L4WB,L1BB,L2BB,L3BB,L4BB,L1IB,L2IB,L3IB,L4IB,KAP,INVES,HS1A,HS2A,HS3A,HS4A,HS1B,HS2B,HS3B,HS4B,HH1WA,HH2WA,HH3WA,HH4WA,HH5WA,HH1BA,HH2BA,HH3BA,HH4BA,HH5BA,HH1IA,HH2IA,HH3IA,HH4IA,HH5IA,HH1WB,HH2WB,HH3WB,HH4WB,HH5WB,HH1BB,HH2BB,HH3BB,HH4BB,HH5BB,HH1IB,HH2IB,HH3IB,HH4IB,HH5IB,USSOC1WA,USSOC2WA,USSOC3WA,USSOC4WA,USSOC1BA,USSOC2BA,USSOC3BA,USSOC4BA,USSOC1IA,USSOC2IA,USSOC3IA,USSOC4IA,USSOC1WB,USSOC2WB,USSOC3WB,USSOC4WB,USSOC1BB,USSOC2BB,USSOC3BB,USSOC4BB,USSOC1IB,USSOC2IB,USSOC3IB,USSOC4IB,PROTAX,LOCSTX,NCSTX,COUNTYSTX,NCITX,USPIT,OTX,CYGF,COUNTY,STATE,FED,OUT1,OUT2,OUT3,OUT4,ROW
AG_MIA,5.047664285,0.633281274,0.534327423,5.426592638,0.00177448,0.05466701,0.019805552,0.001071555,0.000837933,0.019393449,0.013724042,0.056980207,0.067472854,0.023152713,0.004764348,0.180888046,0.004964613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9262508,0,0,0,0,0,0,0,0,0.025389997,0.031915042,0.145726765,0.179455644,0.148251264,0.020942704,0.023267404,0.052091083,0.034029676,0.016224924,0.005377181,0.007978761,0.015035867,0.020068784,0.012089159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523058108,0.446763463,0.934271766,0,0,0,0,25.04101138
UTILA,0.348882593,15.43896838,0.168088445,2.099575708,0.365610844,3.715444839,0.189521368,0.100304406,0.050602004,0.338526597,0.269145734,0.257715625,2.478683538,1.690806075,0.100616372,2.600258152,0.50749684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.40170585,0,0,0,0,0,0,0,0,0.194590581,0.276764857,1.048022473,1.095182193,0.717081609,0.160506243,0.201773181,0.374623192,0.207676364,0.078478889,0.041211062,0.069191214,0.10813337,0.122475804,0.058474466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.446324025,1.235359359,2.583383526,0,0,0,0,19.25159729
CONSTA,0.506312068,0.450814006,0.024230518,0.896821575,0.157396184,1.262286973,0.217225582,0.148713928,0.340333244,1.012077562,0.084377453,0.103121905,0.233765746,0.605486985,0.028256472,0.936326728,0.751720768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.765736,5.91503179,22.69218689,57.7155136,106.7525387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31635221,0.270208236,0.565059471,0,0,0,0,39.57211914
MANUA,5.57406216,0.231782046,5.792936443,18.0286605,0.541744246,2.412349869,0.347301363,0.618739695,0.191661023,0.231593781,0.52071496,1.531001776,2.705897433,7.068346963,0.126526699,8.540840619,1.369070642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.1316517,0,0,0,0,0,0,0,0,0.56279006,0.823756248,3.330709116,3.980341017,3.05749708,0.464212184,0.600552833,1.190585997,0.754781036,0.334618779,0.119189615,0.205939062,0.343657518,0.445127277,0.249323796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.947584606,2.517642083,5.264893195,0,0,0,0,95.50400672
WHOLEA,2.40412899,0.228222783,2.979095844,13.12917517,1.622434092,3.90210717,1.011217157,0.366712417,0.074709804,0.141981814,0.298448704,1.268260716,1.679063345,5.43195884,0.07859766,3.678494574,1.362957104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.3165974,0,0,0,0,0,0,0,0,0.425622488,0.622090671,2.739410743,3.59629897,3.148031178,0.351070778,0.453530175,0.979222129,0.681956207,0.344527017,0.090139794,0.155522668,0.282648248,0.402179301,0.256706405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.209232489,1.886987967,3.94606929,0,0,0,0,10.96793287
RETAILA,0.018580099,0.023078929,4.40208175,0.530290368,0.022858941,0.910282744,0.216496722,0.007813456,0.016553355,0.096459512,0.018418408,0.224420359,0.126372849,0.141262335,0.02659034,1.378905862,0.995672896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.3165974,0,0,0,0,0,0,0,0,1.14612274,1.700672142,7.577762573,10.37437772,9.655174461,0.945368757,1.239861277,2.708725888,1.967264495,1.056682183,0.242729816,0.425168036,0.781862055,1.160181625,0.787331823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07627462,1.773423686,3.708583663,0,0,0,0,132.5679838
TRANSA,0.901110783,0.702149593,0.969579484,4.667148198,3.00752756,14.01634052,4.851861968,0.334462352,0.580488175,0.068815822,0.546499304,1.969559614,1.820754844,2.462704972,0.168654208,2.163827683,0.812163252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.40214328,0,0,0,0,0,0,0,0,0.159467278,0.232363029,1.046868533,1.592098574,1.890587669,0.131535112,0.169402388,0.374210708,0.30190524,0.206909809,0.033772529,0.058090757,0.108014308,0.17804668,0.154168093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.903229307,1.625619222,3.399494964,0,0,0,0,25.49926321
INFOA,0.069128975,0.157733749,0.373552702,1.982680033,1.568707877,7.819479516,0.341507372,4.374732427,1.955898055,0.142367808,1.786428371,3.863638656,4.240186319,3.997396262,0.226870643,2.844322024,1.669025841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1010225,0,0,0,0,0,0,0,0,0.478493868,0.710000518,3.284808556,3.914204554,2.752536484,0.394681248,0.517620138,1.174178511,0.742239761,0.301243263,0.101337077,0.177500129,0.338921567,0.437731141,0.224455765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.159373213,1.844401298,3.857012047,0,0,0,0,12.3313653
FINANCEA,0.647152694,0.535723715,0.458064351,1.992616386,1.519432613,5.789243552,1.236888752,0.305126352,21.8009944,1.320890717,1.511999578,2.981903783,1.867169211,12.4431476,0.368988167,1.996173096,4.696644089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.36283475,0,0,0,0,0,0,0,0,0.518200104,0.989798121,4.584217702,7.722292737,4.309930604,0.42743257,0.721604319,1.638661682,1.46435697,0.471687684,0.1097462,0.24744953,0.472992633,0.863595136,0.351453569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.521201062,3.007589318,6.289470867,0,0,0,0,49.33989774
REALEA,0.759762821,0.200182617,0.997114193,1.136641995,2.932082062,25.51617865,1.633250764,1.289706277,1.332169563,1.220797413,3.439147804,3.458471084,16.47259146,18.9833065,1.144703325,10.42442924,7.706174105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.83339635,0,0,0,0,0,0,0,0,1.882100761,2.586710451,11.89247463,17.56080435,17.25116032,1.55243343,1.885820344,4.251050834,3.330006659,1.888002525,0.398597773,0.646677613,1.227047505,1.963850081,1.406746979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8646018,5.86331274,12.26135977,0,0,0,0,12.66973575
PRO_MANA,0.697941158,0.737957453,1.829985158,12.5788891,4.569345693,15.38850201,0.979873754,1.847441711,3.266778863,0.545769414,6.754293085,7.604175574,3.450464731,15.22033175,0.760286683,9.657822714,3.067591603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8952046,0,0,0,0,0,0,0,0,0.152362124,0.139406553,0.730628645,0.92971452,1.444453368,0.125674491,0.10163322,0.261168479,0.176299188,0.158083952,0.032267775,0.034851638,0.075385156,0.103971316,0.117788043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.813755005,3.257470566,6.81202254,0,0,0,0,35.34950543
ADMINA,0.112483921,0.350659121,0.507492338,2.12499884,1.865589206,5.486148432,1.00452739,0.922985812,1.224162363,1.335179488,2.623883566,7.147341894,3.011102932,11.3221378,0.306933146,2.744645035,1.663540297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99252701,0,0,0,0,0,0,0,0,0.049124798,0.073600487,0.314808315,0.446303139,0.660582268,0.040520136,0.05365784,0.112530503,0.084631227,0.072295484,0.010403819,0.018400122,0.032481445,0.049910724,0.053867224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86840445,1.595874012,3.33729178,0,0,0,0,77.561182
EDUA,0.013733878,0.003260506,0.000654049,0.000839257,0.02005823,0.421326615,0.002105755,0.003592643,0.001101696,0,0.000676477,0.021725029,1.242868483,0.009053652,0.045722782,0,0.229638182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19479367,0,0,0,0,0,0,0,0,0.254713499,0.242885478,0.962142196,1.711379165,3.106473944,0.210098077,0.177073695,0.343924668,0.324524088,0.339978908,0.053944101,0.06072137,0.099272373,0.191386001,0.253317618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421904961,0.360364783,0.753594844,0,0,0,0,137.1046596
HEALTHA,0,0,0,0,0,0,0,0,0,0,0.007080189,0.007432775,0,2.646086505,0.001706677,0,0.003361648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61612709,0,0,0,0,0,0,0,0,1.916701605,3.453756077,10.75287675,15.84627404,13.46666889,1.580973617,2.517932949,3.843693352,3.004885029,1.473819986,0.405925658,0.863439019,1.109465523,1.772111684,1.098140381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68159619,2.290451444,4.789792124,0,0,0,0,245.1810426
ARTA,0.021644874,0.010968606,0.018646255,0.098120608,0.08148155,0.37410952,0.017367335,0.37995751,0.11719297,0.009571442,0.201503783,0.422504071,0.47606398,0.323729722,0.742651673,0.428340099,0.157552948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18681775,0,0,0,0,0,0,0,0,0.093751413,0.201128826,0.880115795,1.506997079,1.59938004,0.077329987,0.146631344,0.314603739,0.285767679,0.175039446,0.019854997,0.050282206,0.090809014,0.168529657,0.130421548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392299481,0.335077636,0.700714363,0,0,0,0,7.618231763
ACCOA,0.031278906,0.13391137,0.078229361,0.526441623,0.248214573,0.749726971,0.188325741,0.138836039,0.621748588,0.058392001,0.543110916,1.597491707,1.18530857,2.947717533,0.036225764,1.096700959,0.344648531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.73559145,0,0,0,0,0,0,0,0,0.603094063,0.817503463,4.01026527,6.541621233,5.919856394,0.497456568,0.595994291,1.433498246,1.240469505,0.647881279,0.127725335,0.204375866,0.413773091,0.731558939,0.482735071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.418586969,1.211668104,2.533840374,0,0,0,0,125.9850006
OTHERA,0.081489858,0.046696161,0.284622908,0.718984407,0.76902902,2.382102578,0.222959582,0.261946894,0.469050755,0.066313052,0.485448338,1.484637476,1.574271917,3.182331982,0.113943271,1.633625329,0.927891037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6444155,0,0,0,0,0,0,0,0,0.517870494,0.72505184,3.293920423,4.406489859,3.747773794,0.427160694,0.528593183,1.177435613,0.835590459,0.410164085,0.109676394,0.18126296,0.339861716,0.492784117,0.305612455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.313009739,1.121490649,2.345261278,0,0,0,0,81.73388437
AG_MIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.22153963,1.666182777,0.904132814,11.17257864,0.001726502,0.056430381,0.043014793,0.00052818,0.001151875,0.015265611,0.014101622,0.022577016,0.088858395,0.019846846,0.008508746,0.216725668,0.009233699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6231276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081567386,0.125629647,0.460126026,0.508990886,0.17402026,0.056601903,0.078688735,0.171807937,0.086528451,0.049311043,0.150318483,0.226606357,0.521267133,0.53662182,0.207742651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.912082414,1.633180992,3.415308137,0,0,0,0,163.0861273
UTILB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.019723567,40.62040721,0.284421634,4.322726299,0.355725538,3.835292332,0.41161299,0.04944104,0.069560608,0.266472216,0.276550544,0.102113524,3.264302993,1.449383827,0.179692819,3.115422488,0.943894922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.48362865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625137734,1.089450884,3.309086117,3.106270403,0.84172455,0.433800658,0.682382812,1.23559031,0.528065968,0.238514269,1.152050604,1.965113345,3.748794324,3.27489651,1.004837534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.457471356,2.953155397,6.175638649,0,0,0,0,50.65155274
CONSTB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.931101855,1.186105706,0.041000342,1.846427444,0.153140541,1.303004016,0.471782536,0.073302575,0.467842887,0.796659858,0.086698869,0.040859537,0.307857865,0.519032346,0.050463806,1.121832208,1.39812775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.3319781,0,0,0,0,10.99390712,46.22122298,92.32754674,138.9822938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521673263,0.445580614,0.931798193,0,0,0,0,70.67977709
MANUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.26892066,0.60982579,9.802199359,37.11843521,0.527096684,2.490163992,0.754288312,0.304982952,0.263468961,0.182299732,0.535041012,0.606622072,3.563532396,6.059090943,0.225966598,10.23295587,2.546338664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.4687836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.808007877,3.242615349,10.51657152,11.28945993,3.588950435,1.254627523,2.031027754,3.926816469,1.919208189,1.016978643,3.331932237,5.848915992,11.91400351,11.90231633,4.284432604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.582042961,6.476106027,13.54283311,0,0,0,0,196.6290998
WHOLEB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.91779377,0.600461259,5.040913474,27.03109517,1.578567076,4.027975748,2.196217357,0.180756199,0.102700665,0.111761407,0.306659706,0.502517343,2.211242952,4.656354984,0.140369155,4.407279604,2.534968074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.1751448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.367346128,2.448783563,8.649572209,10.20019967,3.695221146,0.94883994,1.533807388,3.22969159,1.734033944,1.047091915,2.519847785,4.41703002,9.798919112,10.7539248,4.411296908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.557203707,4.746615207,9.926121856,0,0,0,0,10.67138431
RETAILB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107562444,0.060721382,7.44874095,1.091792076,0.022240886,0.939645339,0.470199556,0.00385133,0.022755254,0.075928391,0.01892514,0.088921088,0.166426759,0.121092151,0.047488227,1.652095323,1.851855057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.1751448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.682010554,6.694487123,23.92646109,29.42489629,11.3334344,2.555050694,4.193124279,8.93397827,5.002232369,3.211485067,6.785484629,12.07528139,27.10578641,31.0222478,13.5296758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.303638044,7.092447333,14.83172606,0,0,0,0,114.0368098
TRANSB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.216639416,1.847377471,1.640620692,9.608991084,2.926210692,14.46845953,10.53754221,0.164859821,0.797974539,0.054168579,0.561534741,0.780389908,2.397843612,2.111066912,0.301202969,2.592526214,1.51054491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.54753172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512301328,0.91466854,3.3054426,4.515676668,2.219209131,0.355500302,0.572907049,1.234229845,0.767665034,0.628843538,0.944107231,1.649847076,3.744666659,4.760813402,2.64925697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.518245583,3.005064933,6.284191874,0,0,0,0,55.38071037
INFOB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400196007,0.415002411,0.632086695,4.082054812,1.526293498,8.071709075,0.741704602,2.156349138,2.688697061,0.112065243,1.835577075,1.530872482,5.584114583,3.426626849,0.405172882,3.407840406,3.104226253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.2412294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.537199647,2.794829883,10.37164247,11.10187677,3.230981666,1.066706074,1.750555169,3.872700944,1.887319051,0.915543251,2.832866561,5.041216253,11.74981643,11.70455008,3.857095116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.641173593,3.964199679,8.289934482,0,0,0,0,6.078252643
