DUMMY,HH0,HW0,HHN0,HHOUT
HH1_R1,6968,3484,3484,670
HH2_R1,16698,8349,8349,1605
HH3_R1,28576,14288,14288,2747
HH4_R1,39332,19666,19666,3780
HH1_R2,19106,9553,9553,1836
HH2_R2,14442,7221,7221,1388
HH3_R2,27862,13931,13931,2678
HH4_R2,45622,22811,22811,4385
HH1_R3,13000,6500,6500,1249
HH2_R3,39062,19531,19531,3754
HH3_R3,72616,36308,36308,6979
HH4_R3,73712,36856,36856,7085
HH1_R4,8430,4215,4215,810
HH2_R4,25500,12750,12750,2451
HH3_R4,33446,16723,16723,3215
HH4_R4,67504,33752,33752,6488
HH1_R5,10894,5447,5447,1047
HH2_R5,21796,10898,10898,2095
HH3_R5,48528,24264,24264,4664
HH4_R5,104324,52162,52162,10027
HH1_R6,2730,1365,1365,262
HH2_R6,15800,7900,7900,1519
HH3_R6,33890,16945,16945,3257
HH4_R6,90578,45289,45289,8706
HH1_R7,1978,989,989,190
HH2_R7,18030,9015,9015,1733
HH3_R7,25782,12891,12891,2478
HH4_R7,71928,35964,35964,6914