DUMMY,OUT1,OUT2,OUT3,OUT4
HH1_R1,0.038748565,0.057405281,0.065442021,0.018943743
HH2_R1,0.038687268,0.05737214,0.065157504,0.019044197
HH3_R1,0.038773796,0.057460806,0.065229563,0.019036954
HH4_R1,0.038747076,0.057459575,0.0652395,0.019017594
HH1_R2,0.047105621,0.069820999,0.079242123,0.023134094
HH2_R2,0.047084891,0.069796427,0.079213405,0.023126991
HH3_R2,0.047089225,0.069844232,0.079319503,0.023113919
HH4_R2,0.047126386,0.069834729,0.079260006,0.023146727
HH1_R3,0.042153846,0.062615385,0.071076923,0.020769231
HH2_R3,0.04218934,0.062567201,0.071015309,0.020736265
HH3_R3,0.0422221,0.062575741,0.071031178,0.020739231
HH4_R3,0.042218363,0.062567832,0.07103321,0.020729325
HH1_R4,0.040332147,0.059786477,0.067852906,0.019928826
HH2_R4,0.040392157,0.059843137,0.067921569,0.019843137
HH3_R4,0.040363571,0.059857681,0.067930395,0.019852897
HH4_R4,0.040382792,0.059818677,0.067936715,0.019821048
HH1_R5,0.04075638,0.06040022,0.068661649,0.020011015
HH2_R5,0.04074142,0.060378051,0.068544687,0.02000367
HH3_R5,0.040759974,0.060418727,0.068578965,0.020029674
HH4_R5,0.04075764,0.06040796,0.068593996,0.02001457
HH1_R6,0.041025641,0.060805861,0.068864469,0.020512821
HH2_R6,0.041012658,0.060759494,0.068987342,0.020126582
HH3_R6,0.041015049,0.060843907,0.069046916,0.02012393
HH4_R6,0.041047495,0.060831548,0.069045464,0.020159421
HH1_R7,0.038422649,0.056622851,0.06471183,0.019211325
HH2_R7,0.038602329,0.057237937,0.065002773,0.018968386
HH3_R7,0.03855403,0.05717167,0.06492902,0.018927934
HH4_R7,0.03859415,0.057168279,0.064926037,0.018935602